mode,accuracy,F1-score,precision,recall
TRAIN,0.4010046044370029,0.023874488403819918,0.08139534883720931,0.013988808952837729
VALID,0.40707395498392285,0.03958333333333333,0.13768115942028986,0.023114355231143552
TEST,0.41495327102803736,0.04573170731707317,0.15625,0.026785714285714284
TRAIN,0.40414399330263706,0.02198557196839574,0.07823960880195599,0.012789768185451638
VALID,0.40836012861736337,0.03765690376569038,0.13432835820895522,0.021897810218978103
TEST,0.41915887850467287,0.04604758250191865,0.16393442622950818,0.026785714285714284
TRAIN,0.4778149853495186,0.01732965734541158,0.5945945945945946,0.008792965627498001
VALID,0.48488745980707393,0.07184241019698726,0.7560975609756098,0.037712895377128956
TEST,0.4803738317757009,0.03806228373702422,0.6111111111111112,0.019642857142857142
TRAIN,0.8522394307241523,0.8395454545454546,0.9731296101159115,0.7382094324540368
VALID,0.8353697749196142,0.8219749652294854,0.9594155844155844,0.718978102189781
TEST,0.8336448598130841,0.81855249745158,0.9536817102137767,0.7169642857142857
TRAIN,0.8526580159062369,0.8397085610200364,0.9756613756613757,0.7370103916866507
VALID,0.8372990353697749,0.8227049754730204,0.9702479338842975,0.7141119221411192
TEST,0.8336448598130841,0.8168724279835391,0.9635922330097088,0.7089285714285715
TRAIN,0.9550020929259104,0.9561671763506626,0.9758635039533916,0.9372501998401279
VALID,0.9279742765273312,0.9292929292929293,0.9658792650918635,0.8953771289537713
TEST,0.9214953271028037,0.9217877094972068,0.9630350194552529,0.8839285714285714
TRAIN,0.9545835077438258,0.9558494404883011,0.9734769995855781,0.9388489208633094
VALID,0.9305466237942123,0.932245922208281,0.9624352331606217,0.9038929440389294
TEST,0.9228971962616822,0.9235048678720444,0.9604628736740598,0.8892857142857142
TRAIN,0.9545835077438258,0.9558494404883011,0.9734769995855781,0.9388489208633094
VALID,0.9305466237942123,0.932245922208281,0.9624352331606217,0.9038929440389294
TEST,0.9228971962616822,0.9235048678720444,0.9604628736740598,0.8892857142857142
TRAIN,0.9585600669736292,0.959919028340081,0.972518457752256,0.9476418864908074
VALID,0.9344051446945337,0.93625,0.9627249357326478,0.9111922141119222
TEST,0.9257009345794392,0.9266266728195662,0.958930276981853,0.8964285714285715
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
TRAIN,0.9646295521138551,0.9660574412532636,0.9709325797335486,0.9612310151878497
VALID,0.940192926045016,0.9424860853432281,0.9584905660377359,0.927007299270073
TEST,0.9317757009345794,0.9335154826958104,0.9526022304832714,0.9151785714285714
